problem_id,evol_low_diversity_cq,evol_medium_diversity_cq,evol_high_diversity_cq
abc362_b,0,0,0
abc363_a,1,0,1
abc363_b,1,0,0
abc364_b,1,0,1
abc364_a,0,1,0
abc365_b,1,0,1
abc365_a,0,0,0
3426,1,0,1
3450,0,0,1
3421,1,0,1
3471,0,1,0
3469,0,0,1
3468,1,0,1
3484,0,0,0
3508,1,0,1
3515,1,0,1
3533,1,0,0
3447,0,1,0
3476,1,0,1
3463,1,0,1
3511,0,0,1
3519,0,1,0
abc366_b,1,0,1
abc366_a,0,0,0
abc367_a,1,0,0
abc367_b,0,0,1
abc368_a,0,0,0
abc368_b,0,1,0
abc369_a,0,1,0
abc369_b,0,1,0
abc370_a,0,1,0
abc370_b,0,1,0
abc371_b,0,1,0
abc371_a,1,0,1
abc372_a,1,0,1
abc373_a,0,1,0
abc373_b,0,0,0
3543,0,0,0
3555,1,0,1
3553,1,0,1
3567,0,1,0
3568,0,0,0
3600,0,1,0
3606,1,0,0
abc374_b,1,0,1
abc374_a,0,0,0
abc375_b,0,0,0
abc375_a,1,0,0
abc376_a,0,1,0
abc377_b,0,1,0
abc377_a,1,0,1
abc378_b,0,1,0
abc378_a,1,0,1
abc379_b,1,0,1
abc379_a,1,0,1
abc380_a,0,0,0
abc380_b,1,0,1
abc381_a,0,1,0
abc381_b,1,0,1
abc382_a,1,0,1
abc382_b,0,1,0
abc383_a,0,1,0
abc384_b,0,1,0
abc384_a,0,1,0
abc385_a,0,1,0
abc385_b,0,1,0
abc386_a,0,0,1
abc386_b,1,0,0
3610,1,0,1
3636,0,0,0
3612,0,1,0
3616,1,0,1
3644,1,0,1
3605,1,0,1
3617,0,1,0
3626,0,1,0
3625,0,1,0
3676,0,0,1
3651,0,1,0
3621,0,1,0
3632,0,1,0
3656,1,0,1
3685,1,0,0
3702,0,0,0
3684,0,0,0
