problem_id,evol_low_complexity_dsc,evol_medium_complexity_dsc,evol_high_complexity_dsc
3371,1,1,1
3372,0,0,0
3361,1,1,0
3367,0,0,0
3381,0,0,0
3379,0,0,0
3408,0,1,1
3397,1,1,1
3396,0,0,0
3398,1,1,0
3412,1,1,1
3429,0,0,0
3446,0,1,1
3428,0,0,0
abc356_a,0,0,1
abc356_b,1,1,1
abc357_a,1,1,1
abc357_b,1,1,1
abc358_b,0,0,0
abc358_a,0,0,0
abc359_b,0,0,0
abc359_a,0,0,0
abc360_b,0,0,0
abc360_a,1,0,0
abc361_a,0,0,0
abc362_a,0,0,0
abc362_b,0,0,0
abc363_a,0,0,0
abc363_b,0,0,0
abc364_b,0,1,1
abc364_a,0,0,0
abc365_b,1,1,1
abc365_a,0,0,0
3426,1,1,1
3450,1,1,1
3421,0,0,0
3471,1,1,0
3469,1,1,1
3468,1,1,1
3484,1,1,1
3508,0,0,0
3515,0,0,0
3533,0,1,1
3447,1,1,1
3476,0,0,0
3463,0,0,0
3511,1,1,1
3519,0,0,1
abc366_b,1,1,1
abc366_a,0,0,0
abc367_a,1,1,1
abc367_b,1,1,1
abc368_a,0,0,0
abc368_b,0,0,0
abc369_a,1,1,1
abc369_b,0,0,0
abc370_a,1,1,1
abc370_b,0,0,0
abc371_b,1,1,0
abc371_a,0,0,0
abc372_a,0,1,1
abc373_a,0,0,0
abc373_b,0,0,0
3543,0,0,0
3555,0,0,0
3553,1,1,1
3567,1,1,0
3568,0,0,0
3600,1,0,0
3606,1,1,0
abc374_b,0,1,1
abc374_a,1,0,0
abc375_b,0,0,0
abc375_a,1,1,1
abc376_a,1,0,0
abc377_b,0,0,0
abc377_a,0,0,0
abc378_b,0,0,0
abc378_a,1,1,1
abc379_b,1,1,1
abc379_a,0,0,0
abc380_a,0,0,0
abc380_b,0,1,1
abc381_a,0,0,0
abc381_b,0,0,0
abc382_a,0,0,0
abc382_b,1,1,1
abc383_a,0,0,0
abc384_b,1,1,1
abc384_a,0,1,1
abc385_a,1,1,1
abc385_b,1,1,1
abc386_a,1,1,1
abc386_b,0,0,0
3610,0,0,0
3636,1,1,1
3612,1,1,0
3616,0,0,0
3644,0,0,0
3605,0,0,0
3617,0,0,0
3626,0,0,0
3625,0,0,0
3676,0,0,0
3651,0,0,0
3621,0,1,1
3632,0,1,1
3656,0,0,0
3685,0,0,0
3702,1,1,1
3684,0,0,0
