problem_id,evol_low_diversity_dsc,evol_medium_diversity_dsc,evol_high_diversity_dsc
abc377_b,0,0,1
abc377_a,0,1,0
abc378_b,0,1,0
abc378_a,0,1,0
abc379_b,1,0,1
abc379_a,0,0,1
abc380_a,0,1,0
abc380_b,0,0,1
abc381_a,0,0,0
abc381_b,0,0,1
abc382_a,1,0,0
abc382_b,0,0,1
abc383_a,1,0,1
abc384_b,0,1,0
abc384_a,0,0,0
abc385_a,1,0,1
abc385_b,0,0,1
abc386_a,0,0,0
abc386_b,0,0,0
3610,1,0,1
3636,1,0,0
3612,1,0,0
3616,0,1,0
3644,1,0,0
3605,0,0,1
3617,0,1,0
3626,1,0,0
3625,0,0,0
3676,0,1,0
3651,1,0,0
3621,0,1,0
3632,0,0,0
3656,0,0,1
3685,0,0,1
3702,0,1,0
3684,0,0,0
