problem_id,oss_low_complexity_dsc,oss_medium_complexity_dsc,oss_high_complexity_dsc
3371,0,0,0
3372,1,0,0
3361,0,1,1
3367,1,1,0
3381,1,1,0
3379,1,1,1
3408,0,1,1
3397,0,0,0
3396,1,1,1
3398,1,1,1
3412,0,0,0
3429,0,0,0
3446,0,1,1
3428,1,1,1
abc356_a,0,0,0
abc356_b,1,1,1
abc357_a,0,0,0
abc357_b,0,0,0
abc358_b,0,0,0
abc358_a,0,0,0
abc359_b,0,0,0
abc359_a,0,0,0
abc360_b,0,0,0
abc360_a,1,1,1
abc361_a,0,1,1
abc362_a,0,0,0
abc362_b,1,1,1
abc363_a,0,0,0
abc363_b,0,0,0
abc364_b,1,1,1
abc364_a,1,1,1
abc365_b,0,0,0
abc365_a,0,0,0
3426,0,0,0
3450,0,0,0
3421,0,0,0
3471,0,0,0
3469,0,1,1
3468,0,0,0
3484,0,0,0
3508,1,1,1
3515,1,1,1
3533,1,1,1
3447,0,0,0
3476,0,0,0
3463,0,0,0
3511,1,1,1
3519,0,0,0
abc366_b,0,0,0
abc366_a,1,1,1
abc367_a,0,0,0
abc367_b,0,0,0
abc368_a,0,0,0
abc368_b,1,1,1
abc369_a,1,1,1
abc369_b,0,0,0
abc370_a,0,0,0
abc370_b,0,0,0
abc371_b,1,1,1
abc371_a,1,1,1
abc372_a,0,0,0
abc373_a,0,0,0
abc373_b,0,0,0
3543,1,1,1
3555,1,1,1
3553,0,0,0
3567,0,0,0
3568,0,0,0
3600,1,1,1
3606,1,1,1
abc374_b,1,1,1
abc374_a,0,0,0
abc375_b,1,1,0
abc375_a,1,1,1
abc376_a,0,0,0
abc377_b,1,0,0
abc377_a,0,0,0
abc378_b,0,0,1
abc378_a,1,1,1
abc379_b,0,0,0
abc379_a,1,1,1
abc380_a,1,1,1
abc380_b,0,0,0
abc381_a,0,0,0
abc381_b,0,1,1
abc382_a,0,0,0
abc382_b,0,0,0
abc383_a,1,1,1
abc384_b,0,1,1
abc384_a,1,1,1
abc385_a,0,0,0
abc385_b,0,0,0
abc386_a,0,1,1
abc386_b,1,1,1
3610,1,1,1
3636,0,0,0
3612,1,1,1
3616,0,0,0
3644,0,0,0
3605,0,0,0
3617,0,0,0
3626,1,1,1
3625,0,0,0
3676,0,0,0
3651,1,1,1
3621,0,0,0
3632,0,0,0
3656,1,1,1
3685,0,0,0
3702,0,0,0
3684,0,0,0
