problem_id,evol_algorithmic_practical_0_10_run_1_dsc,evol_algorithmic_practical_2_8_run_1_dsc,evol_algorithmic_practical_5_5_run_1_dsc,evol_algorithmic_practical_8_2_run_1_dsc,evol_algorithmic_practical_10_0_run_1_dsc,evol_algorithmic_practical_0_10_run_2_dsc,evol_algorithmic_practical_2_8_run_2_dsc,evol_algorithmic_practical_5_5_run_2_dsc,evol_algorithmic_practical_8_2_run_2_dsc,evol_algorithmic_practical_10_0_run_2_dsc,evol_algorithmic_practical_0_10_run_3_dsc,evol_algorithmic_practical_2_8_run_3_dsc,evol_algorithmic_practical_5_5_run_3_dsc,evol_algorithmic_practical_8_2_run_3_dsc,evol_algorithmic_practical_10_0_run_3_dsc
3311,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0
3312,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3320,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3331,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3347,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
abc301_a,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
abc301_b,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
abc302_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc303_a,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
abc303_b,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
abc304_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc304_b,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
abc305_a,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
abc305_b,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1
abc306_a,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
abc306_b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc307_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc307_b,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1
abc308_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc308_b,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1
abc309_a,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
abc309_b,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
abc310_a,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
abc310_b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc311_a,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
abc311_b,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
abc312_a,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
abc312_b,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
abc313_a,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
abc314_a,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
abc314_b,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0
abc315_a,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
abc315_b,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
abc318_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc318_b,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0
abc319_b,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
abc320_a,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
abc320_b,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
abc321_a,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
abc321_b,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
abc322_a,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
abc322_b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc323_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc323_b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc324_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc324_b,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1
abc325_a,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
abc326_a,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
abc326_b,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0
abc327_a,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0
abc327_b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
abc328_a,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1
abc328_b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc329_a,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
abc329_b,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
abc330_a,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
abc330_b,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
abc331_a,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
abc331_b,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
abc332_a,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
abc332_b,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
abc333_a,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1
abc333_b,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
abc334_a,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
abc335_a,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
abc335_b,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1
abc336_a,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
abc336_b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc337_a,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
abc337_b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc338_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc338_b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc339_a,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0
abc340_a,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
abc340_b,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
abc341_a,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
abc341_b,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
abc342_a,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
abc342_b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc343_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc343_b,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
abc344_a,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
abc344_b,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
abc345_b,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1
abc346_b,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
abc346_a,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
abc347_a,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
abc347_b,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
abc348_b,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
abc348_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc349_a,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
abc349_b,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
abc350_a,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0
abc350_b,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
abc351_a,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0
abc351_b,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
abc352_a,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
abc352_b,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
abc353_b,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
abc353_a,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0
abc354_b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc354_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc355_b,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
abc355_a,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
3334,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
3353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3349,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0
3371,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
3372,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3361,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1
3367,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
3381,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3408,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3397,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
3396,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0
3398,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3412,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3429,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3428,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
abc356_a,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
abc356_b,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
abc357_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc357_b,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
abc358_b,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
abc358_a,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
abc359_b,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
abc359_a,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
abc360_b,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
abc360_a,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
abc361_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc362_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc362_b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc363_a,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
abc363_b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc364_b,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1
abc364_a,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
abc365_b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc365_a,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
3426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3450,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0
3421,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
3471,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3469,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3468,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1
3484,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
3508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3515,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3447,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3476,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
3463,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
3511,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3519,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0
abc366_b,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
abc366_a,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
abc367_a,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1
abc367_b,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
abc368_a,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
abc368_b,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
abc369_a,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
abc369_b,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0
abc370_a,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
abc370_b,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
abc371_b,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
abc371_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc372_a,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
abc373_a,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1
abc373_b,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
3543,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
3555,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3553,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3567,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
3568,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
3600,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1
3606,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
abc374_b,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
abc374_a,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
abc375_b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc375_a,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
abc376_a,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
abc377_b,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
abc377_a,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
abc378_b,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
abc378_a,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
abc379_b,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
abc379_a,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1
abc380_a,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
abc380_b,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
abc381_a,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
abc381_b,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1
abc382_a,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
abc382_b,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
abc383_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc384_b,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
abc384_a,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
abc385_a,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
abc385_b,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
abc386_a,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
abc386_b,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1
3610,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
3636,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
3612,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3616,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3644,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1
3605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3626,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3625,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1
3676,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3651,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3621,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3656,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
3685,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3702,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
